[PB Info 2026-Jun-01 16:49:34] ------------------------------------------------------------------------------
[PB Info 2026-Jun-01 16:49:34] ||                 Parabricks accelerated Genomics Pipeline                 ||
[PB Info 2026-Jun-01 16:49:34] ||                              Version 4.7.0-1                             ||
[PB Info 2026-Jun-01 16:49:34] ||                                deepvariant                               ||
[PB Info 2026-Jun-01 16:49:34] ------------------------------------------------------------------------------
[PB Info 2026-Jun-01 16:49:34] Starting DeepVariant
[PB Info 2026-Jun-01 16:49:34] Running with 2 GPU devices, each with 4 group instances and 12 workers
[PB Info 2026-Jun-01 16:49:40] ProgressMeter -	Current-Locus	Elapsed-Minutes
[PB Info 2026-Jun-01 16:59:05] ProgressMeter -	chr9:16872000	9.4
[PB Info 2026-Jun-01 16:59:11] ProgressMeter -	chr9:31280000	9.5
[PB Info 2026-Jun-01 16:59:17] ProgressMeter -	chr9:62838000	9.6
[PB Info 2026-Jun-01 16:59:23] ProgressMeter -	chr9:80295000	9.7
[PB Info 2026-Jun-01 16:59:29] ProgressMeter -	chr9:94751000	9.8
[PB Info 2026-Jun-01 16:59:35] ProgressMeter -	chr9:116608000	9.9
[PB Info 2026-Jun-01 16:59:41] ProgressMeter -	chr9:132449000	10.0
[PB Info 2026-Jun-01 16:59:47] ProgressMeter -	chr10:6171000	10.1
[PB Info 2026-Jun-01 16:59:53] ProgressMeter -	chr10:18171000	10.2
[PB Info 2026-Jun-01 16:59:59] ProgressMeter -	chr10:34616000	10.3
[PB Info 2026-Jun-01 17:00:05] ProgressMeter -	chr10:43760000	10.4
[PB Info 2026-Jun-01 17:00:11] ProgressMeter -	chr10:60511000	10.5
[PB Info 2026-Jun-01 17:00:17] ProgressMeter -	chr10:74991000	10.6
[PB Info 2026-Jun-01 17:00:23] ProgressMeter -	chr10:91332000	10.7
[PB Info 2026-Jun-01 17:00:29] ProgressMeter -	chr10:107973000	10.8
[PB Info 2026-Jun-01 17:00:35] ProgressMeter -	chr10:122869000	10.9
[PB Info 2026-Jun-01 17:00:41] ProgressMeter -	chr11:4248000	11.0
[PB Info 2026-Jun-01 17:00:47] ProgressMeter -	chr11:18010000	11.1
[PB Info 2026-Jun-01 17:00:53] ProgressMeter -	chr11:31259000	11.2
[PB Info 2026-Jun-01 17:00:59] ProgressMeter -	chr11:46139000	11.3
[PB Info 2026-Jun-01 17:01:05] ProgressMeter -	chr11:65351000	11.4
[PB Info 2026-Jun-01 17:01:11] ProgressMeter -	chr11:84053000	11.5
[PB Info 2026-Jun-01 17:01:17] ProgressMeter -	chr11:99307000	11.6
[PB Info 2026-Jun-01 17:01:23] ProgressMeter -	chr11:113387000	11.7
[PB Info 2026-Jun-01 17:01:29] ProgressMeter -	chr11:130347000	11.8
[PB Info 2026-Jun-01 17:01:35] ProgressMeter -	chr12:11401000	11.9
[PB Info 2026-Jun-01 17:01:41] ProgressMeter -	chr12:25805000	12.0
[PB Info 2026-Jun-01 17:01:47] ProgressMeter -	chr12:40932000	12.1
[PB Info 2026-Jun-01 17:01:53] ProgressMeter -	chr12:57094000	12.2
[PB Info 2026-Jun-01 17:01:59] ProgressMeter -	chr12:73661000	12.3
[PB Info 2026-Jun-01 17:02:05] ProgressMeter -	chr12:94461000	12.4
[PB Info 2026-Jun-01 17:02:11] ProgressMeter -	chr12:109945000	12.5
[PB Info 2026-Jun-01 17:02:17] ProgressMeter -	chr12:125736000	12.6
[PB Info 2026-Jun-01 17:02:23] ProgressMeter -	chr13:17807000	12.7
[PB Info 2026-Jun-01 17:02:29] ProgressMeter -	chr13:29823000	12.8
[PB Info 2026-Jun-01 17:02:35] ProgressMeter -	chr13:46625000	12.9
[PB Info 2026-Jun-01 17:02:41] ProgressMeter -	chr13:64110000	13.0
[PB Info 2026-Jun-01 17:02:47] ProgressMeter -	chr13:78911000	13.1
[PB Info 2026-Jun-01 17:02:53] ProgressMeter -	chr13:93669000	13.2
[PB Info 2026-Jun-01 17:02:59] ProgressMeter -	chr13:108229000	13.3
[PB Info 2026-Jun-01 17:03:05] ProgressMeter -	chr14:25044000	13.4
[PB Info 2026-Jun-01 17:03:11] ProgressMeter -	chr14:42168000	13.5
[PB Info 2026-Jun-01 17:03:17] ProgressMeter -	chr14:59288000	13.6
[PB Info 2026-Jun-01 17:03:23] ProgressMeter -	chr14:73368000	13.7
[PB Info 2026-Jun-01 17:03:29] ProgressMeter -	chr14:90328000	13.8
[PB Info 2026-Jun-01 17:03:35] ProgressMeter -	chr15:17082000	13.9
[PB Info 2026-Jun-01 17:03:41] ProgressMeter -	chr15:40176000	14.0
[PB Info 2026-Jun-01 17:03:47] ProgressMeter -	chr15:57097000	14.1
[PB Info 2026-Jun-01 17:03:53] ProgressMeter -	chr15:72331000	14.2
[PB Info 2026-Jun-01 17:03:59] ProgressMeter -	chr15:89123000	14.3
[PB Info 2026-Jun-01 17:04:05] ProgressMeter -	chr16:480000	14.4
[PB Info 2026-Jun-01 17:04:11] ProgressMeter -	chr16:16419000	14.5
[PB Info 2026-Jun-01 17:04:17] ProgressMeter -	chr16:31456000	14.6
[PB Info 2026-Jun-01 17:04:23] ProgressMeter -	chr16:58006000	14.7
[PB Info 2026-Jun-01 17:04:29] ProgressMeter -	chr16:76466000	14.8
[PB Info 2026-Jun-01 17:04:35] ProgressMeter -	chr16:87346000	14.9
[PB Info 2026-Jun-01 17:04:41] ProgressMeter -	chr17:10591000	15.0
[PB Info 2026-Jun-01 17:04:47] ProgressMeter -	chr17:25062000	15.1
[PB Info 2026-Jun-01 17:04:53] ProgressMeter -	chr17:47260000	15.2
[PB Info 2026-Jun-01 17:04:59] ProgressMeter -	chr17:64228000	15.3
[PB Info 2026-Jun-01 17:05:05] ProgressMeter -	chr17:78941000	15.4
[PB Info 2026-Jun-01 17:05:11] ProgressMeter -	chr18:10424000	15.5
[PB Info 2026-Jun-01 17:05:17] ProgressMeter -	chr18:30839000	15.6
[PB Info 2026-Jun-01 17:05:23] ProgressMeter -	chr18:50010000	15.7
[PB Info 2026-Jun-01 17:05:29] ProgressMeter -	chr18:66059000	15.8
[PB Info 2026-Jun-01 17:05:35] ProgressMeter -	chr18:78234000	15.9
[PB Info 2026-Jun-01 17:05:41] ProgressMeter -	chr19:10751000	16.0
[PB Info 2026-Jun-01 17:05:47] ProgressMeter -	chr19:29321000	16.1
[PB Info 2026-Jun-01 17:05:53] ProgressMeter -	chr19:44255000	16.2
[PB Info 2026-Jun-01 17:05:59] ProgressMeter -	chr20:621000	16.3
[PB Info 2026-Jun-01 17:06:05] ProgressMeter -	chr20:14565000	16.4
[PB Info 2026-Jun-01 17:06:11] ProgressMeter -	chr20:28904000	16.5
[PB Info 2026-Jun-01 17:06:17] ProgressMeter -	chr20:40724000	16.6
[PB Info 2026-Jun-01 17:06:23] ProgressMeter -	chr20:52885000	16.7
[PB Info 2026-Jun-01 17:06:29] ProgressMeter -	chr21:6106000	16.8
[PB Info 2026-Jun-01 17:06:35] ProgressMeter -	chr21:28808000	16.9
[PB Info 2026-Jun-01 17:06:41] ProgressMeter -	chr21:40790000	17.0
[PB Info 2026-Jun-01 17:06:47] ProgressMeter -	chr21:44930000	17.1
[PB Info 2026-Jun-01 17:06:53] ProgressMeter -	chr22:28778000	17.2
[PB Info 2026-Jun-01 17:06:59] ProgressMeter -	chr22:44681000	17.3
[PB Info 2026-Jun-01 17:07:05] ProgressMeter -	chrX:16628000	17.4
[PB Info 2026-Jun-01 17:07:11] ProgressMeter -	chrX:56202000	17.5
[PB Info 2026-Jun-01 17:07:17] ProgressMeter -	chrX:98571000	17.6
[PB Info 2026-Jun-01 17:07:23] ProgressMeter -	chrX:139940000	17.7
[PB Info 2026-Jun-01 17:07:29] ProgressMeter -	chrY:20322000	17.8
[PB Info 2026-Jun-01 17:07:36] Deepvariant is finished, total time is 1075.805 seconds
[PB Info 2026-Jun-01 17:07:36] ------------------------------------------------------------------------------
[PB Info 2026-Jun-01 17:07:36] ||        Program:                                       deepvariant        ||
[PB Info 2026-Jun-01 17:07:36] ||        Version:                                           4.7.0-1        ||
[PB Info 2026-Jun-01 17:07:36] ||        Start Time:                       Mon Jun  1 16:49:34 2026        ||
[PB Info 2026-Jun-01 17:07:36] ||        End Time:                         Mon Jun  1 17:07:36 2026        ||
[PB Info 2026-Jun-01 17:07:36] ||        Total Time:                           18 minutes 2 seconds        ||
[PB Info 2026-Jun-01 17:07:36] ------------------------------------------------------------------------------
